Text,Aspect,Polarity
"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .",speed,POS
"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .",battery,NEG
"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,POS
"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,POS
"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",hard drive,NEU
"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",motherboard,NEU
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",speed,POS
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",construction quality,POS
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",longevity,POS
"It absolutely is more expensive than most PC laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .",use,POS
"It gets stuck all of the time you use it , and you have to keep tapping on it to get it to work .",use,NEG
lots of preloaded software .,preloaded software,POS
"I wish it had a webcam though , then it would be perfect !",webcam,NEG
Another thing I might add is the battery life is excellent .,battery life,POS
"One drawback , I wish the keys were backlit .",keys,NEG
I wish the volume could be louder and the mouse didnt break after only a month .,volume,NEG
I wish the volume could be louder and the mouse didnt break after only a month .,mouse,NEG
"I play a lot of casual games online , and the touchpad is very responsive .",touchpad,POS
"It is everything I 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy .",look and feel standpoint,POS
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,safari,NEG
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,Mozzilla firfox,POS
"Great battery , speed , display .",battery,POS
"Great battery , speed , display .",speed,POS
"Great battery , speed , display .",display,POS
"The delivery was fast , and I would not hesitate to purchase this laptop again .",delivery,POS
I 've been impressed with the battery life and the performance for such a small amount of memory .,battery life,POS
I 've been impressed with the battery life and the performance for such a small amount of memory .,performance,POS
I 've been impressed with the battery life and the performance for such a small amount of memory .,memory,NEG
"It 's applications are terrific , including the replacements for Microsoft office .",applications,POS
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",built-in webcam,NEG
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",built-in mic,NEG
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",cam,NEG
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",mic,NEG
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,board,NEG
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,connector,NEG
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,power supply,NEG
"My dad has one of the very first Toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !",works,POS
Mostly I love the drag and drop feature .,drag and drop feature,POS
"oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?",webcam,NEG
"I ordered through MacMall , which saved me the sales tax I would have incurred buying locally .",sales tax,POS
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",software packages,POS
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",iWork,POS
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",GarageBand,POS
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",iMovie,POS
The screen is very large and crystal clear with amazing colors and resolution .,screen,POS
The screen is very large and crystal clear with amazing colors and resolution .,colors,POS
The screen is very large and crystal clear with amazing colors and resolution .,resolution,POS
"After a little more than a year of owning my MacBook Pro , the monitor has completely died .",monitor,NEG
"The brand of iTunes has just become ingrained in our lexicon now , but keep in mind that Apple started it all .",iTunes,POS
"Size : I know 13 is small ( especially for a desktop replacement ) but with an external monitor , who cares .",Size,NEG
"Size : I know 13 is small ( especially for a desktop replacement ) but with an external monitor , who cares .",external monitor,NEU
"The display is incredibly bright , much brighter than my PowerBook and very crisp .",display,POS
The start menu is not the easiest thing to navigate due to the stacking .,start menu,NEG
Really like the textured surface which shows no fingerprints .,surface,POS
The screen is bright and the keyboard is nice ;,screen,POS
The screen is bright and the keyboard is nice ;,keyboard,POS
But the machine is awesome and iLife is great and I love Snow Leopard X .,iLife,POS
But the machine is awesome and iLife is great and I love Snow Leopard X .,Snow Leopard X,POS
"I thought learning the Mac OS would be hard , but it is easily picked up if you are familiar with a PC .",Mac OS,POS
It is easy to use and lightweight .,use,POS
They also have a longer service life than other computers ( I have several friends who still use the older Apple PowerBooks ) .,service life,POS
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .,ports,NEU
This laptop is a great price and has a sleek look .,price,POS
This laptop is a great price and has a sleek look .,look,POS
I especially like the keyboard which has chiclet type keys .,keyboard,POS
I especially like the keyboard which has chiclet type keys .,keys,POS
I bought a protector for my key pad and it works great : ),protector,NEU
The magnetic plug-in power charging power cord is great ( I even put it to the test by accident ) - excellent innovation !,magnetic plug-in power charging power cord,POS
"While Apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium .",support,POS
only good thing is the graphics quality .,graphics quality,POS
"The other lock-up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless .",Appleworks,NEG
"The other lock-up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless .",browser,NEG
The paint wears off easily due to the keyboard being farther back than usual .,paint,NEG
The paint wears off easily due to the keyboard being farther back than usual .,keyboard,NEG
The store honored their warrenty and made the comment that they do n't even recommend the HP brand because of the problems with their warrentys .,warrentys,NEG
"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything !",CD drive,NEG
"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything !",running,NEG
But the screen size is not that bad for email and web browsing .,screen size,POS
But the screen size is not that bad for email and web browsing .,web browsing,NEU
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,trackpad,NEG
This computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .,games,NEG
"Yeah , of course smarty pants `` fix it now '' ) Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple ( which I promptly did ) .",inbuilt applications,NEG
"Yeah , of course smarty pants `` fix it now '' ) Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple ( which I promptly did ) .",Software,NEG
The body is a bit cheaply made so it will be interesting to see how long it holds up .,body,NEG
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",antivirus software,NEU
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",firewall,NEU
"Am very glad I bought it , great netbook , low price .",price,POS
The Apple team also assists you very nicely when choosing which computer is right for you : ),Apple team,POS
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista ( I should have waited the few months to get the next operating system ) .",Vista,NEG
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better .,video chat,NEG
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $ 175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $ 175 and it was fixed .,mouse,POS
"Fan vents to the side , so no cooling pad needed , great feature !",cooling pad,NEU
"Fan vents to the side , so no cooling pad needed , great feature !",feature,POS
"i use my mac all the time , i love the software , the way it takes a short time to load things , how easy it is to use and most of all how you do n't have to worry about viruses .",software,POS
Wasted me at least 8 hours of installation time .,installation time,NEG
"It has far exceeded my expectations for power , storage , and abilitiy .",power,POS
"It has far exceeded my expectations for power , storage , and abilitiy .",storage,POS
"It has far exceeded my expectations for power , storage , and abilitiy .",abilitiy,POS
I am enjoying it and the quality it provides is great !,quality,POS
"Suffice it to say , my MacBook Pro keeps me going with its long battery life and blazing speed .",battery life,POS
"Suffice it to say , my MacBook Pro keeps me going with its long battery life and blazing speed .",speed,POS
"The OS is also very user friendly , even for those that switch from a PC , with a little practice you can take full advantage of this OS !",OS,POS
"iTunes is a handy music-management program , and it is essential for anyone with an iPod .",iTunes,POS
"iTunes is a handy music-management program , and it is essential for anyone with an iPod .",program,POS
the programs are esay to use and are quick to process this computer works like a charm .,programs,POS
the programs are esay to use and are quick to process this computer works like a charm .,use,POS
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again .,power supply,NEG
Sells for the same as a netbook without sacrificing size .,size,POS
"Windows XP SP2 caused many problems on the computer , so I had to remove it .",Windows XP SP2,NEG
"this is my second one and the same problem , bad video card unreliable overall , this will be my second time returning this laptop back to best buy .",video card,NEG
"With awesome graphics and assuring security , it 's perfect !",graphics,POS
"With awesome graphics and assuring security , it 's perfect !",security,POS
The laptop was very easy to set up .,set up,POS
I recommend for word processing and internet users .,word processing,POS
I recommend for word processing and internet users .,internet,POS
Since I 've had this computer I 've only used the trackpad because it is so nice and smooth .,trackpad,POS
A longer battery life would have been great - but it meets it 's spec quite easily .,spec,POS
"Who could n't love a DVD burner , 80-gigabyte HD , and fairly new graphics chip ? As I soon discovered , though , there is a reason for which similarly-configured Sony and Toshiba machines cost more : they use higher-quality components that are faster , better-configured , and end up lasting a lot longer .",graphics chip,POS
"Who could n't love a DVD burner , 80-gigabyte HD , and fairly new graphics chip ? As I soon discovered , though , there is a reason for which similarly-configured Sony and Toshiba machines cost more : they use higher-quality components that are faster , better-configured , and end up lasting a lot longer .",components,POS
"The computer itself was fast , ran smoothly , and had no problems .",ran,POS
Like the price and operation .,price,POS
Like the price and operation .,operation,POS
The brand is tarnished in my heart .,brand,NEG
"This is likely due to poor grounding and isolation between the components , and I 'm hoping that it can be fixed with a ground loop isolator , but I still expected better product quality for this price range .",components,NEG
"This is likely due to poor grounding and isolation between the components , and I 'm hoping that it can be fixed with a ground loop isolator , but I still expected better product quality for this price range .",quality,NEG
I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty .,warranty,NEU
"Once open , the leading edge is razor sharp .",leading edge,NEG
Maximum sound is n't nearly as loud as it should be .,Maximum sound,NEG
I loaded windows 7 via Bootcamp and it works flawlessly !,windows 7,POS
I loaded windows 7 via Bootcamp and it works flawlessly !,Bootcamp,POS
"Great Laptop for the price , works well with action pack games .",price,POS
"Great Laptop for the price , works well with action pack games .",action pack games,NEU
"Great Laptop for the price , works well with action pack games .",works,POS
"Although the price is higher then Dell laptops , the Macbooks are worth the dough .",price,NEG
So what if the laptops/mobile phones look chic and cool ? The after sales support is terrible .,after sales support,NEG
So what if the laptops/mobile phones look chic and cool ? The after sales support is terrible .,look,POS
I hate the display screen and I have done everything I could do the change it .,display screen,NEG
I also like the acer arcade but these were reallythe only two things I liked about this laptop .,acer arcade,POS
"Have not yet needed any customer support with this yet so to me that is a great thing , which is leaps and bounds ahead of PC in my opinion .",customer support,POS
"I gave it to my daughter because I just hated the screen , hated that it had no cd drive to at least play cd 's when I wanted to listen to music and do schoolwork .",screen,NEG
"I gave it to my daughter because I just hated the screen , hated that it had no cd drive to at least play cd 's when I wanted to listen to music and do schoolwork .",cd drive,NEG
It runs very quiet too which is a plus .,runs,POS
but it has a major design flaw .,design,NEG
"It was heavy , bulky , and hard to carry because of the size .",size,NEG
The games included are very good games .,games,POS
"this computer will last you at least 7 years , thats an amazing life spanned an electronic .",life,POS
"Three , the mac book has advantages over pcs ' with linux based os there is very few problems with system performance when it comes to a mac .",system performance,NEG
A mac is very easy to use and it simply makes sense .,use,POS
It is so much easier to use,use,POS
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC 's .,virus protection,POS
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .",processor,POS
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .",OSX 16,POS
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV .,Intel Core processors,NEU
"The price premium is a little much , but when you start looking at the features it is worth the added cash .",price premium,NEG
"The price premium is a little much , but when you start looking at the features it is worth the added cash .",features,POS
I ca n't say enough of how satisfied I am with their product and help aftermarket .,product and help aftermarket,POS
"I connect a LaCie 2Big external drive via the firewire 800 interface , which is useful for Time Machine .",LaCie 2Big external drive,NEU
"I connect a LaCie 2Big external drive via the firewire 800 interface , which is useful for Time Machine .",firewire 800 interface,POS
"I connect a LaCie 2Big external drive via the firewire 800 interface , which is useful for Time Machine .",Time Machine,NEU
"I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium .",extra features,POS
"I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium .",windows 7 home premium,POS
The battery life was shorter than expected .,battery life,NEG
The keyboard is top notch .,keyboard,POS
"The image is great , and the soud is excelent .",image,POS
"The image is great , and the soud is excelent .",soud,POS
"It is well worth the money it cost , Very good investment .",cost,POS
"Upgrading from Windows 7 Starter , thru Windows 7 Home Premium , to Windows 7 Professional was a snap ;",Windows 7 Professional,NEU
"I had upgraded my old MacBook to Lion , so I kind of knew what I was getting , but had n't been able to enjoy some of the awesome new multi-touch features .",multi-touch features,POS
"The screen is a little glary , and I hated the clicking buttons , but I got used to them .",screen,NEG
"The screen is a little glary , and I hated the clicking buttons , but I got used to them .",clicking buttons,NEG
"Not to mention , the battery life is absolutely amazing .",battery life,POS
Now for the hardware problems .,hardware,NEG
It 's fast and has excellent battery life .,battery life,POS
Apple care included .,Apple care,NEU
Windows is also rather unsteady on its feet and is susceptible to many bugs .,Windows,NEG
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE .,WARRANTY COMPANY,NEG
The only bad part is the size / weight .,size,NEG
The only bad part is the size / weight .,weight,NEG
The little battery that it did have would only last about an hour while just having it on the desktop .,battery,NEG
I liked the aluminum body .,aluminum body,POS
Its good for playing my apps on Facebook or watching movies .,watching movies,POS
Its good for playing my apps on Facebook or watching movies .,playing,POS
"From the build quality to the performance , everything about it has been sub-par from what I would have expected from Apple .",build quality,NEG
"From the build quality to the performance , everything about it has been sub-par from what I would have expected from Apple .",performance,NEG
"I love the dock where I can simply drop a file ontop of a particular program , and the program will simply open that file .",dock,POS
"I love the dock where I can simply drop a file ontop of a particular program , and the program will simply open that file .",program,POS
pretty much everything else about the computer is good it just stops working out of no were .,working,NEG
It was truly a great computer costing less than one thousand bucks before tax .,costing,POS
"Waiting for the i7 was well worth it , great value for the price .",price,POS
"Waiting for the i7 was well worth it , great value for the price .",i7,POS
Boots up fast and runs great !,Boots up,POS
Boots up fast and runs great !,runs,POS
Lightweight and the screen is beautiful !,screen,POS
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .",twin packing,POS
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .",functions,POS
They say sorry out of warranty .,warranty,NEG
"After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .",design,POS
"After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .",tech issues,POS
The service I received from Toshiba went above and beyond the call of duty .,service,POS
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc .",memory,NEG
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc .",speed,NEG
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc .",priced,NEG
I would recommend it just because of the internet speed probably because thats the only thing i really care about .,internet speed,POS
The screen shows great colors .,screen,POS
The screen shows great colors .,colors,POS
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10-20 % , unlike PC laptops which drop more than 80 % .",value,POS
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10-20 % , unlike PC laptops which drop more than 80 % .",price,POS
"The 17 inch screen is very large , but the computer is very light .",17 inch screen,NEG
"My opinion of Sony has been dropping as fast as the stock market , given their horrible support , but this machine just caused another plunge .",support,NEG
"For the Bluetooth to work properly , you must install the Launch Manager on the Drivers/Applications DVD , or it will not show after the reload .",Bluetooth,NEU
I also liked the glass screen .,glass screen,POS
The switchable graphic card is pretty sweet when you want gaming on the laptop .,switchable graphic card,POS
"The battery life has not decreased since I bought it , so i 'm thrilled with that .",battery life,POS
"When I called Toshiba , they would not do anything and even tried to charge me $ 35 for the phone call , even though they did n't offer any technical support .",technical support,NEG
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR .,BOOT MGR,NEU
Oh and if thats not bad enough it does n't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $ 25 for two cds .,recovery cd,NEG
The price and features more than met my needs .,price,POS
The price and features more than met my needs .,features,POS
Skype is just so dang cool with this machine too .,Skype,POS
"Also , HDD secures inside using rails , and there is only one set on the main hard drive .",HDD,POS
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio .,quality,POS
Games being the main issue .,Games,NEG
They say that this will invalidate the warranty on the hard drive ( I do n't really understand why but anyway ) .,warranty,NEG
A great computer for light home use and business use .,home use,POS
A great computer for light home use and business use .,business use,POS
"Also consider the MS Office apps are all trial versions , hope you have your own copies .",MS Office apps,NEG
"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows .",feature,POS
The battery life is amazingly long at 7hrs and 5hrs if you use it .,battery life,POS
"lightweight , long battery life , excellent transition from PC ;",battery life,POS
The Nortons virus scan is only for a very short time unlike others that usually are good for a year .,Nortons virus scan,NEG
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,features,POS
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,use,POS
Came fully loaded - good .,loaded,POS
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .",Windows 7,NEU
"The only thing that I have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .",key broad,NEG
This is the complete opposite to an ergonomic design .,design,NEG
The only thing that I do n't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to .,programs,NEG
"Wireless has not been a issue for me , like some others have meantioned .",Wireless,POS
"MacBook Notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede .",battery life,NEG
"MacBook Notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede .",programs,NEG
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .",trackpad,POS
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .",navigating,POS
I guess the only good thing that came out of these were the speakers and the subwoofer .,speakers,POS
I guess the only good thing that came out of these were the speakers and the subwoofer .,subwoofer,POS
Theres a built in camera with special effects- for video and photography .,built in camera,POS
All for such a great price .,price,POS
Another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it .,left mouse key,NEG
It has good speed and plenty of hard drive space .,speed,POS
It has good speed and plenty of hard drive space .,hard drive space,POS
Very long-life battery ( up to 10-11 hours depending on how you configure power level settings ) .,battery,POS
The black model also has a very nice seamless appearance - one of the better looking notebooks I 've seen .,appearance,POS
The technical service for dell is so 3rd world it might as well not even bother .,technical service for dell,NEG
The graphics were awful and the warranty is n't even worth the cheap payment on the computer .,graphics,NEG
The graphics were awful and the warranty is n't even worth the cheap payment on the computer .,warranty,NEG
"They gave me a hard time yet again , but their was a malfunction in the battery itself , it did n't die .",battery,NEG
"If you do n't feel comfortable doing it yourself , just buy the case and be happy , plus it looks nice , I bought the white one from Best Buy .",case,POS
Excellent speed for processing data .,speed,POS
"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .",gaming,POS
"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .",use,POS
I was taught to use Photoshop and was amazed .,Photoshop,POS
"The driver updates do n't fix the issue , very frustrating .",driver updates,NEG
It doesnt work worth a damn .,work,NEG
It works really well .,works,POS
"Bigger HD , better graphics card , and a bid HD .",HD,POS
"Bigger HD , better graphics card , and a bid HD .",graphics card,POS
The built in camera is very useful when chatting with other techs in remote buildings on our campus .,built in camera,POS
The DVD burner broke after burning 3 DVD 'd during that time !,DVD burner,NEG
It works fine with our wireless and they 've had not problems .,works,POS
Product support very poor as each phone call costs me long distan,Product support,NEG
"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .",screen,POS
"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .",use,POS
