Text,Aspect,Polarity
Make sure you try this place as often as you can .,place,POS
This is a fun restaurant to go to .,restaurant,POS
The pizza is yummy and I like the atmoshpere .,pizza,POS
The pizza is yummy and I like the atmoshpere .,atmoshpere,POS
But the pizza is way to expensive .,pizza,NEG
Sauce was watery and the food did n't have much flavor .,Sauce,NEG
This place is great .,place,POS
The waitress was very patient with us and the food is phenomenal !,waitress,POS
The waitress was very patient with us and the food is phenomenal !,food,POS
"Service was prompt , friendly and great .",Service,POS
Great pizza and fantastic service .,pizza,POS
Great pizza and fantastic service .,service,POS
"There was a small wait , but shorter than I expected .",wait,POS
This is the best sushi in new york city - hands down .,sushi,POS
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",sushi,POS
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",thai food,POS
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",Planet Thailand,POS
"With the great variety on the menu , I eat here often and never get bored .",menu,POS
"The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .",atmosphere,NEG
"Try the crunchy tuna , it is to die for .",crunchy tuna,POS
First went here to enjoy their garden terrace .,garden terrace,POS
"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",food,POS
"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",service,POS
"The Steak Tartare is a great bet , they fix it for you at the table .",Steak Tartare,POS
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",vibe,POS
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",French food,POS
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust,POS
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",neighborhood,POS
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",food,POS
I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,setting,POS
I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,service,POS
I 'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much ... and we 're repeat customers .,Mizu,POS
"Moules were excellent , lobster ravioli was VERY salty !",Moules,POS
"Moules were excellent , lobster ravioli was VERY salty !",lobster ravioli,NEG
"Took my mom for Mother 's Day , and the maitre d ' was pretty rude .",maitre d ',NEG
Tiny dessert was $ 8.00 ... just plain overpriced for what it is .,dessert,NEG
The drinks are always well made and wine selection is fairly priced .,drinks,POS
The drinks are always well made and wine selection is fairly priced .,wine selection,POS
Try their chef 's specials -- they are to die for .,chef 's specials,POS
Downstairs lounge is always a good attraction,Downstairs lounge,POS
"Raga 's is a romantic , cozy restaurant .",Raga 's,POS
The exotic food is beautifully presented and is a delight in delicious combinations .,exotic food,POS
The staff is incredibly helpful and attentive .,staff,POS
The bar is very well stocked with interesting beers and well priced wines .,bar,POS
The bar is very well stocked with interesting beers and well priced wines .,beers,POS
The bar is very well stocked with interesting beers and well priced wines .,wines,POS
"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",service,NEG
"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",food,NEU
I had a great time at Jekyll and Hyde !,Jekyll and Hyde,POS
I loved everythig about it-especially the shows and actors .,shows,POS
I loved everythig about it-especially the shows and actors .,actors,POS
Our server was very helpful and friendly .,server,POS
The food was good too .,food,POS
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere,POS
"Great service , great food .",service,POS
"Great service , great food .",food,POS
"Two complaints -- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection,NEG
Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,Wait staff,NEG
Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,pie,POS
By far the best salad I have had in a fast food restaurant .,salad,POS
fine dining restaurant quality .,dining,POS
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .",restaurant,POS
"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie,POS
"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger,POS
"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",service,POS
The staff is no nonsense .,staff,POS
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,bagels,POS
Worth visiting the 1st Ave spot because it is the original store .,1st Ave spot,POS
"He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN !",Uni Hand roll,POS
The sake menu should not be overlooked !,sake menu,POS
"Service was very good - prompt , attentive and non-intrusive .",Service,POS
"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",Food,POS
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour,POS
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,hall,NEG
"I 've been to at Cafe Spice probably 5-8 times , it is probably still the best Indian restaurant around Union Square .",Cafe Spice,POS
"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .",Service,NEU
"Seating is always prompt , though the restaurant does fill up in the evening .",Seating,POS
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",Food,POS
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",raw vegatables in side orders,NEG
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",decor,POS
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",semi-private boths,POS
It 's simply the best meal in NYC .,meal,POS
"If we were to move from the upper east side , we would genuinely miss this restaurant .",restaurant,POS
The restaurant is cute but not upscale .,restaurant,NEU
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food,POS
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,balance of herbs and tomatoes,POS
We had a great time at the Jekyll and hyde Pub last night .,Jekyll and hyde Pub,POS
After really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,POS
The server was really cool and served us our food and drinks with a smile .,server,POS
The place 's decor and hidden bathrooms made for a good laugh .,decor,POS
The place 's decor and hidden bathrooms made for a good laugh .,hidden bathrooms,POS
I highly recommend visiting this restaurant and having dinner and drinks !,restaurant,POS
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,POS
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",beers,POS
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",food,POS
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",pumkin tortelini,POS
The entertainment was great they have shows that go on through out the dinner .,entertainment,POS
The bagel was huge .,bagel,POS
This was my frist time at Cafe St. Bart 's and I must say how delicious the food and the service was .,food,POS
"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza,POS
"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",santa fe chopped salad,POS
"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",fish and chips,POS
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",food,POS
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",ambience,POS
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",service,POS
All the staff is absolutely professional ! !,staff,POS
This restaurant was way overhyped .,restaurant,NEG
My chow fun and chow see was really bland and oily .,chow fun and chow see,NEG
The service was the only thing good about this restaurant .,service,POS
"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",sushi,NEG
"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",tuna,NEG
"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",rolls,NEG
Their pad penang is delicious and everything else is fantastic .,pad penang,POS
The price is reasonable although the service is poor .,service,NEG
fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,fresh restaurant,POS
fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,food,POS
Hats off to the chef .,chef,POS
"the salads are delicious , both refreshing and very spicy .",salads,POS
We had Pam 's special fried fish and it was amazing .,Pam 's special fried fish,POS
"Great vibe , lots of people .",vibe,POS
"I did n't complain , I liked the atmosphere so much .",atmosphere,POS
"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,POS
Although we were looking for regular lettuce and some walnuts the salads we got were great .,salads,POS
Ingredients are organic which is a real plus for me .,Ingredients,POS
"This is some really good , inexpensive sushi .",sushi,POS
The spicy Tuna roll is huge and probably the best that I 've had at this price range .,spicy Tuna roll,POS
The Yellowtail was particularly good as well .,Yellowtail,POS
"I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",all you can eat deal,NEG
Big Wong gets big Ups for a fine establishment .,Big Wong,POS
"They have it all -- great price , food , and service .",food,POS
"They have it all -- great price , food , and service .",service,POS
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere,NEG
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,waiters,POS
This place is always very crowded and popular .,place,POS
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... .both very tasty .,Caesar Salad,POS
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... .both very tasty .,arugula and goat cheese,POS
We both opted for a pasta dish and they were served timely and fresh .,pasta dish,POS
"We concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake,POS
I recently went to this restaurant with some co-workers for lunch and had an amazing time .,restaurant,POS
sometimes i get good food and ok service .,food,POS
sometimes i get good food and ok service .,service,NEU
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",food,NEG
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",service,NEG
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",good,POS
And evaluated on those terms Pastis is simply wonderful .,Pastis,POS
Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,raddichio,NEG
My friend got the mushroom pizza which tasted better .,mushroom pizza,POS
The sangria was pretty tasty and good on a hot muggy day .,sangria,POS
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids .,place,NEU
I started out with a Bombay beer which was big enough for two .,Bombay beer,POS
"Service was slow , but the people were friendly .",Service,NEG
"Service was slow , but the people were friendly .",people,POS
The food is authentic Italian - delicious !,food,POS
"Pizza is terrific , as is homemade pasta .",Pizza,POS
"Pizza is terrific , as is homemade pasta .",homemade pasta,POS
"Ambience is delightful , service impeccable .",Ambience,POS
"Ambience is delightful , service impeccable .",service,POS
I 'm still mad that i had to pay for lousy food .,food,NEG
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,hanger steak,NEG
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,tuna,NEG
Service was also horrible and the ambience is not that great .,Service,NEG
Service was also horrible and the ambience is not that great .,ambience,NEG
It 's a small cute restaurant .,restaurant,POS
I absolutely love this place ! ! !,place,POS
We wo n't go to this place again for a good meal .,meal,NEG
"However , I think this place is a good hang out spot .",place,POS
THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,Pizza,POS
THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,wine,POS
THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,service,POS
It is one the nicest outdoor restaurants I have ever seen in NY -- I am from Italy and this place rivals the ones in my country .,outdoor restaurants,POS
"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review .",place,NEG
"The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced .",tables,NEG
"The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced .",menu,NEU
"The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced .",wine list,NEG
Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .,wines,NEG
Service is not what one would expect from a joint in this price category .,Service,NEG
Somehow working the italian charm with constant mille grazie does not constitute proper service .,service,NEG
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,meals,NEG
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,rosemary or orange flavoring,NEG
Fish was overdone .,Fish,NEG
"Cute place , nice wait staff but would never go there again .",wait staff,POS
"Cute place , nice wait staff but would never go there again .",place,NEG
Someone else recommended the dessert - we also left that .,dessert,NEG
"Skip this restaurant , it 's a big disappointment .",restaurant,NEG
Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else .,Myagi,POS
I 've never had bad service and the fish is fresh and delicious .,service,POS
I 've never had bad service and the fish is fresh and delicious .,fish,POS
Their tuna tartar appetizer is to die for .,tuna tartar appetizer,POS
"I come from a family of pizzeria owners , and I 'm almost ashamed to say that the pizza in Fornino 's blows my families receipies away .",pizza,POS
The place is so cool and the service is prompt and curtious .,service,POS
The place is so cool and the service is prompt and curtious .,place,POS
I highly recommend to anyone to give this place a try .,place,POS
A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,food,POS
A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,service,POS
A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,atmosphere,POS
The dining room is quietly elegant with no music to shout over -- how refreshing !,dining room,POS
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",service,POS
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",meal,POS
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",restaurant,POS
The view is breathtaking the service is top notch ... the ambiance is wonderful .,view,POS
The view is breathtaking the service is top notch ... the ambiance is wonderful .,service,POS
The view is breathtaking the service is top notch ... the ambiance is wonderful .,ambiance,POS
The staff offers impeccable service .,staff,POS
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .,New England Chowder,POS
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .,Lobster Bisque,POS
My boyfriend had Prime Rib it was good .,Prime Rib,POS
If you like spicy food get the chicken vindaloo .,chicken vindaloo,POS
Go to Volare for 1st class service and terrific food .,service,POS
Go to Volare for 1st class service and terrific food .,food,POS
The portions are large and the servers always surprise us with a different starter .,portions,POS
The wine list is excellent .,wine list,POS
The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,food,POS
The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,selection of wines,POS
"The place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion .",service,POS
"The place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion .",place,POS
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,food,NEG
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,prixe fixe tasting menu,POS
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",food,NEU
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",lemon salad,NEG
The menu is very limited - i think we counted 4 or 5 entrees .,menu,NEG
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino,NEG
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse .",decor,NEU
This place is so much fun .,place,POS
Our family never expected such incredible entertainment in a restaurant .,entertainment,POS
The staff was the friendliest that have seen in New York .,staff,POS
If you want something really different than try Jekyll and Hyde .,Jekyll and Hyde,POS
The food was pretty tradional but it was hot and good with large portions .,food,POS
The food was pretty tradional but it was hot and good with large portions .,portions,POS
The place is a lot of fun .,place,POS
The characters really make for an enjoyable experience .,characters,POS
"However , I think Jeckll and Hydes t is one of those places that is fun to do once .",Jeckll and Hydes,POS
Service was slow had to wait to order and get food although not crowded .,Service,NEG
Drinks way over priced .,Drinks,NEG
Food was good not great not worth the wait or another visit,Food,NEU
Great pizza for lunch place .,pizza,POS
Service was quick .,Service,POS
The pizza was great .,pizza,POS
"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",fish,POS
"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",service,POS
Delivery is fast too .,Delivery,POS
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",service,POS
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",seating,POS
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",Delivery,POS
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",sushi,POS
Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY .,bagel,POS
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,POS
They have a huge selection of different cream cheeses and all of their salads are great .,salads,POS
They have a huge selection of different cream cheeses and all of their salads are great .,cream cheeses,POS
The lox is always fresh too .,lox,POS
Not impressed with the food .,food,NEG
Zero ambiance to boot .,ambiance,NEG
I thought this place was totally overrated .,place,NEG
"The ambience was nice , but service was n't so great .",ambience,POS
"The ambience was nice , but service was n't so great .",service,NEG
This is the BEST Shabu-Shabu Restaurant in the Try-State Area .,Shabu-Shabu Restaurant,POS
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .",atmosphere,POS
The owner and staff are all Japanese as well and that adds to the entire ambiance .,ambiance,POS
Taxan delicious !,Taxan,POS
Try green curry with vegetables .,green curry with vegetables,POS
"The quantity is also very good , you will come out satisfied .",quantity,POS
"The service is ok , some of the people did n't get what they asked for .",service,NEU
I had the best ravioli ever .,ravioli,POS
The wine the service was very good too .,wine,POS
The wine the service was very good too .,service,POS
This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,trattoria,POS
"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",food,POS
"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",dishes,POS
"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",specials,POS
"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",regular menu-fare,POS
"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",candle-light,POS
"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",food,POS
"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",service,POS
"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",tables,NEG
"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",marinara/arrabiatta sauce,POS
"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",mozzarella en Carozza,POS
Check out the secret back room .,back room,POS
The food was authentic .,food,POS
Who has room for Cheesesticks with the best pizza in NYC !,pizza,POS
Always great service !,service,POS
"The food is good , I ca n't lie .",food,POS
The hostess and the waitress were incredibly rude and did everything they could to rush us out .,hostess,NEG
The hostess and the waitress were incredibly rude and did everything they could to rush us out .,waitress,NEG
Amma is nothing special .,Amma,NEU
I ate here a week ago and found most dishes average at best and too expensive .,dishes,NEG
This place is always packed .,place,NEU
"Most importantly , food is excellent .",food,POS
and yes Dal Bukhara is so dam good and so are all the kababs .,kababs,POS
and yes Dal Bukhara is so dam good and so are all the kababs .,Dal Bukhara,POS
Haru on Park S is simply disgusting .,Haru on Park S,NEG
The fish was not fresh and the rice tasted old and stale .,fish,NEG
The fish was not fresh and the rice tasted old and stale .,rice,NEG
"Quite frankly , this is some of the worst sushi I have ever tried .",sushi,NEG
honestly the worst sushi my husband and i had in our entire lives .,sushi,NEG
not sure why this restaurant would be rated that highly .,restaurant,NEG
the all-u-can-eat sushi is definitely in very poor quality .,all-u-can-eat sushi,NEG
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",soy sauce,NEG
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",rice,NEG
the waitstaffs are nice though .,waitstaffs,POS
I have been to Roth 's twice and both times were very disappointing .,Roth 's,NEG
"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,NEG
"The dinner was ok , nothing I would have again .",dinner,NEG
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,NEG
The service was attentive .,service,POS
Planet Thai is great !,Planet Thai,POS
"We love the food , drinks , and atmosphere !",food,POS
"We love the food , drinks , and atmosphere !",drinks,POS
"We love the food , drinks , and atmosphere !",atmosphere,POS
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",svc,NEG
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",restaurant,POS
"Try the Pad Thai , it 's fabulous and their prices are so cheap !",Pad Thai,POS
"Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",portions,POS
"Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",food,POS
"Eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .",atmosphere,POS
Chennai Garden is my favorite Indian restaurant in the city .,Chennai Garden,POS
They have authentic Indian at amazin prices .,Indian,POS
It 's a rather cramped and busy restaurant and it closes early .,restaurant,NEG
Patroon features a nice cigar bar and has great staff .,cigar bar,POS
Patroon features a nice cigar bar and has great staff .,staff,POS
The food is tasty and portion sizes are appropriate .,food,POS
The food is tasty and portion sizes are appropriate .,portion sizes,POS
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant,POS
Not a great place for family or general dining .,place,NEG
LOVE THIS PLACE .,PLACE,POS
Food is excellent .,Food,POS
